STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage
ND,2022Q4,75,92.0,414090.0,60.01304347826087,4500.978260869565,1843022.27,347448.52000000014,1723559.8899999992,236829.5000000001,1241077.8399999996,292799.78,4.450777053297592,0.8390652273660318,4.162283295901855,0.5719276002801325,2.997121012340312,15.88693662393998,93.51812607234524,18.852106437107796,67.33927528721613
ND,2023Q1,75,90.0,401165.0,59.431851851851874,4457.388888888889,1814911.4900000005,352504.58,1694736.6299999997,240452.65999999992,1217167.6699999997,271651.8500000001,4.524102277117895,0.8787022297558361,4.224537609213166,0.5993859384542518,3.03408240998093,14.96777399321,93.37847268794354,19.422687108559764,67.06485008808883
ND,2023Q2,73,91.0,402075.0,60.52611771789854,4418.406593406594,1831966.1399999997,337637.82999999984,1717361.83,231499.08,1248479.9200000002,247452.95,4.556279649319156,0.8397384318845983,4.271247478704222,0.5757609401231113,3.105092134552012,13.507506749005747,93.74419059950532,18.430353194191675,68.14972682846641
ND,2023Q3,74,92.0,415756.0,61.068742655699175,4519.086956521739,1880634.9499999995,356659.28,1762037.5900000003,248110.64,1281595.3900000004,245895.37,4.523410245432416,0.8578572047066066,4.23815312346665,0.596769836153898,3.082566192670702,13.075124973084224,93.69375965282369,18.964833127237164,68.14695164524092
ND,2023Q4,72,92.0,412680.0,62.30072463768116,4485.652173913043,1854154.33,357344.0399999999,1735511.3600000003,248111.35000000003,1257757.2100000002,253292.72000000003,4.492959023941067,0.8659107298633322,4.205465154599206,0.60121971018707,3.0477784481923043,13.660821858340135,93.60123544839983,19.27261578058608,67.83454805512335
ND,2024Q1,74,91.0,415493.0,61.70077220077223,4565.857142857143,1869521.1600000004,358572.77,1749571.0300000005,248849.01000000004,1275802.4899999998,249341.18,4.499525046149996,0.863005562067231,4.210831542288319,0.5989246750246094,3.0705751721448973,13.337168112074217,93.58391161510043,19.179925730287,68.24220646959671
ND,2024Q2,68,91.0,376781.0,60.88897866839043,4140.450549450549,1752783.73,330157.21,1644310.49,231570.42000000007,1200668.48,219092.37,4.651996066680645,0.8762575872987225,4.364101401079141,0.6146021694299874,3.186648159010141,12.499680722161886,93.81137340885746,18.836163546543187,68.5006632278587
ND,2024Q3,71,92.0,408913.0,62.60150030618495,4444.70652173913,1877651.55,357466.7499999999,1761216.4000000006,251058.34000000003,1289149.7699999998,221995.05000000005,4.5918118279438405,0.8741877856658993,4.307068740783493,0.61396517107551,3.152626035366936,11.823016363179848,93.7988946884208,19.037970596834107,68.6575616226557
ND,2024Q4,73,92.0,414713.0,61.750000000000014,4507.75,1893287.78,373336.46,1771752.17,261502.53999999995,1285769.7999999996,251028.53,4.565296433919361,0.9002284953690864,4.27223687224659,0.630562678285947,3.1003846033280835,13.25886812621798,93.5807112218302,19.718949435146094,67.91201071397607
ND,2025Q1,71,90.0,397139.0,62.15007824726134,4412.655555555555,1832143.2700000005,359159.67,1714217.1200000003,250916.18,1253968.63,244153.03999999995,4.613355198054083,0.9043676647219236,4.316415965191029,0.6318094672142499,3.1575056340475247,13.32608884893592,93.56348644066466,19.6032524246862,68.4427168187562
ND,2025Q2,73,91.0,408814.0,61.540569020021096,4492.461538461538,1903274.83,376928.09,1782499.0900000008,265399.19999999995,1306101.31,236746.12,4.655600908970828,0.9220038697304888,4.360171349317785,0.6491930315498,3.194854652727157,12.438882512831846,93.65431948679743,19.8041861353255,68.62389442726986
ND,2025Q3,73,92.0,416608.0,62.03216200119119,4528.347826086957,1897591.4700000004,374753.16,1778923.1900000004,265856.51,1305855.88,238211.75000000003,4.55486085240802,0.8995342384207697,4.270016874375913,0.6381454748828636,3.134495448959213,12.553373777549703,93.74637365965816,19.748885148603662,68.8164918869497
ND,2025Q4,69,92.0,406676.0,64.0636420919975,4420.391304347826,1867647.02,368744.7699999999,1748500.54,259651.13999999998,1278912.4200000002,230045.52999999997,4.592469238410922,0.9067286242610822,4.299492814919002,0.638471756385919,3.1447944309474867,12.317398712739625,93.6205033004577,19.743814867115518,68.47720186440799
NE,2017Q1,187,90.0,906776.0,53.87855020796202,10075.288888888888,3698681.429999998,637683.8999999999,3414241.979999998,405240.80999999976,2360431.43,89953.74,4.078936176078765,0.7032430280466178,3.7652540208386616,0.4469028845051035,2.6031031147714536,2.432048872076016,92.30970670539745,17.240844124280265,63.81818695858868
NE,2017Q2,183,91.0,894827.0,53.73368161892751,9833.263736263736,3638887.72,607855.0400000003,3337612.92,395485.64,2348227.819999999,602971.57,4.066582389668617,0.6792989482883287,3.7298974215127614,0.4419688274940296,2.6242254871612043,16.570216406677147,91.7206898595926,16.70441867879343,64.5314722708729
NE,2017Q3,200,92.0,984749.0,53.51896739130434,10703.79347826087,4048175.079999999,692198.5900000002,3708948.8800000018,446687.7799999999,2614809.370000001,92497.6,4.110869957725266,0.7029188046903324,3.766390095344095,0.4536057208486628,2.655305433161141,2.284920937757465,91.62026855814752,17.099027989668876,64.59229945163345
NE,2017Q4,192,92.0,934231.0,52.88898324275362,10154.684782608696,3838980.69,655035.1699999998,3551044.5799999987,409043.1500000001,2481983.75,108864.67,4.109241386766228,0.7011490412970666,3.801034840419552,0.4378394101672928,2.65671311485061,2.8357701898208822,92.49967287540586,17.062736775578827,64.65215510109795
NE,2018Q1,177,90.0,873770.0,54.85059635907094,9708.555555555557,3584927.8799999994,646237.64,3320489.05,420009.0700000002,2285311.8600000003,126168.84000000004,4.102827837989402,0.7395969648763405,3.8001866051706967,0.4806860729940376,2.615461574556233,3.51942477570846,92.62359414605577,18.02651717501218,63.747777821404895
NE,2018Q2,187,91.0,918432.0,53.97144032438152,10092.65934065934,3767341.330000001,666210.73,3486050.230000001,427563.7300000001,2424034.6200000006,123781.08000000002,4.10192733920421,0.7253783949165534,3.795654147503572,0.4655366211107627,2.6393185559736603,3.2856348591063287,92.53343205830517,17.683843104282772,64.34337660612239
NE,2018Q3,196,92.0,972853.0,53.9514751552795,10574.489130434782,3953258.270000001,696561.3000000002,3661871.5700000017,450929.6899999999,2558008.340000001,143318.05000000002,4.063572060732711,0.7159985115942492,3.764054353535428,0.4635126684093073,2.629388345412926,3.625314619274799,92.62920153203147,17.619928990877696,64.70632995096474
NE,2018Q4,194,92.0,963257.0,53.970024652622165,10470.184782608696,3903952.48,698630.7999999998,3616807.8,454223.33,2507359.339999999,149687.13000000003,4.052866971119857,0.7252797540012684,3.754769287947038,0.4715494722592205,2.603001421219881,3.834245697580827,92.6447701023246,17.89547397359713,64.22617469974938
NE,2019Q1,197,90.0,956316.0,53.93773265651439,10625.733333333334,3872080.719999997,700790.8499999997,3581491.0999999987,453154.3699999999,2473760.27,153301.43,4.048955282563502,0.7328025987225977,3.745091685175192,0.4738542176435403,2.5867603072624523,3.959148609897784,92.49525924139311,18.098559939112015,63.88710486386764
NE,2019Q2,197,91.0,984121.0,54.896022758966886,10814.516483516483,4026213.47,715748.1200000003,3736776.63,468390.1799999999,2609394.2400000007,157574.30999999997,4.091177273932779,0.7272968669503043,3.7970703094436553,0.4759477543919903,2.651497366685601,3.913709771578504,92.81118991437876,17.777202459163206,64.81013139126973
NE,2019Q3,190,92.0,982173.0,56.1883867276888,10675.79347826087,4034186.4299999992,732943.6599999999,3749385.32,488145.5900000001,2615120.090000001,161089.65,4.10740921405903,0.7462470053646353,3.817438801514601,0.4970057108065484,2.6625860108147967,3.993113674719292,92.94030866094606,18.168314050870475,64.82397716061926
NE,2019Q4,190,92.0,981482.0,56.14885583524032,10668.282608695652,4020282.94,737362.1699999998,3735537.1,489910.8499999997,2587721.26,191954.84000000003,4.0961351710984,0.751274266873972,3.8060169213495514,0.499154187239297,2.636544796542371,4.774659964604383,92.9172686537331,18.341051637524792,64.36664529885051
NE,2020Q1,150,91.0,724629.0,53.0863736263736,7962.956043956044,2882584.7200000007,545194.3599999998,2675632.550000001,360542.45,1836078.029999999,132472.66,3.978014570214552,0.7523772302792184,3.692417154157509,0.4975545417034096,2.5338180365400764,4.595620696969489,92.82060407230637,18.91338548412203,63.695544393227706
NE,2020Q2,185,91.0,892094.0,52.99043659043658,9803.23076923077,3848467.9299999992,717157.6600000001,3560981.3600000003,469700.2500000002,2483725.689999999,167513.84,4.313971319165916,0.8039036917634242,3.9917109183561377,0.5265143023044658,2.7841524435765725,4.352740962037847,92.52984368769316,18.634887260188247,64.53803786796787
NE,2020Q3,184,92.0,875163.0,51.69913752362948,9512.641304347826,3733543.64,711941.0999999996,3456285.04,472073.3200000004,2391876.29,171810.06999999995,4.266112301365574,0.8134954288515392,3.949304346733123,0.5394118809867423,2.733063772120165,4.601796217386653,92.57384868815944,19.06877670780352,64.0645060198091
NE,2020Q4,186,92.0,836973.0,48.91146563814867,9097.532608695652,3659438.52,704953.3999999997,3373321.9100000006,458513.87,2332840.97,218450.06,4.372230071937804,0.8422654016318324,4.030383190377707,0.5478239680372007,2.7872356336464854,5.969496653819997,92.18140683505732,19.26397714149874,63.748603979825845
NE,2021Q1,189,90.0,818777.0,48.13503821281598,9097.522222222222,3561709.500000001,679184.3500000002,3285117.7399999998,440906.31,2273394.3999999994,185764.12000000005,4.350036090412898,0.8295107825451865,4.012225233488483,0.5384937657017723,2.776573352695544,5.215588750289713,92.23429760344013,19.0690551826307,63.82874291123402
NE,2021Q2,186,91.0,836450.0,49.41805506321639,9191.758241758242,3485575.7700000005,660850.1000000001,3206877.0800000005,422343.67000000016,2222865.69,203252.18,4.167105947755395,0.7900652758682528,3.833913658915656,0.5049239882838187,2.6574997788271864,5.83123688629497,92.00422804178493,18.9595677617417,63.7732712377674
NE,2021Q3,188,92.0,878875.0,50.8137719703978,9552.989130434782,3504462.900000002,670793.2500000002,3227835.979999999,436451.3100000001,2213517.9699999997,246387.40999999997,3.987441786374629,0.7632407907836726,3.672690632911392,0.4966022585691937,2.5185811065282318,7.030675371110359,92.10643890680072,19.141114320257174,63.16283074362118
NE,2021Q4,187,91.66310160427808,862537.0,50.465294674346936,9409.860509888573,3409688.0800000005,637465.3600000002,3142755.7400000007,412318.9699999999,2158585.730000001,339179.67000000004,3.953091960113016,0.7390585679223038,3.6436184650629486,0.4780304728956553,2.502600734809058,9.947527810227148,92.17135603794,18.69570896350144,63.30742517655752
NE,2022Q1,185,90.0,839691.0,50.43189189189187,9329.9,3279521.4599999967,624997.6900000002,3012588.7300000004,395569.1400000001,2064388.8400000003,366484.68000000005,3.905628927784145,0.7443186719876719,3.587734928682099,0.4710889362872772,2.4585101424214386,11.174943798050355,91.86061950635944,19.057588054325485,62.94786800998711
