STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,LPN_HPRD,LPN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage
NATIONAL,2023Q3,14611,92.0,110127102.0,81.92688504491908,1197033.7173913044,403257721.43,64513102.650000215,374986238.1400001,44731022.4400001,242844880.88000092,35151620.820000075,3.661748235507005,0.5858058686589266,3.405031380377194,0.4061763328703601,0.871892124014751,0.7946799159746979,2.205132764503337,8.716912027213821
NATIONAL,2023Q4,14609,92.0,110870455.0,82.49117949923682,1205113.641304348,407876591.68000025,65346201.64000008,379281910.3500041,45267562.11999997,245663288.1399997,32451254.960000023,3.67885738071518,0.5893923826685845,3.420946638579269,0.408292381590749,0.8747971218614314,0.7978459974407034,2.215768737848146,7.956145467023925
NATIONAL,2024Q1,14626,91.0,111031909.0,83.42204759550604,1220130.868131868,408226222.7199994,66392691.24000004,378802162.5199996,45816615.66000007,244734097.63999945,30756307.150000043,3.676656795300164,0.5979604587362363,3.4116513525854955,0.4126436811961872,0.8756500503039317,0.7958143892246778,2.204178058759662,7.534133144380502
NATIONAL,2024Q2,14564,91.0,110554155.0,83.41670036911731,1214880.8241758242,410623403.8600004,66611526.5300002,381239500.01999927,46123818.53000004,247415780.92999876,28904401.69999997,3.714228595569297,0.6025239533511897,3.448441173649233,0.4172056539168522,0.8748549217244386,0.7942499067989757,2.237960038046501,7.039151063550863
NATIONAL,2024Q3,14548,92.0,112106836.0,83.76083071332086,1218552.5652173914,418147559.0800022,67395566.14000018,388662104.0099998,46860781.72000004,253496287.01999912,28382783.11000007,3.7299024216507375,0.6011726719323358,3.466890315323856,0.4180011085140253,0.8686502802170247,0.7886805696909865,2.261202760374034,6.78774334410732
NATIONAL,2024Q4,14573,92.0,112822433.0,84.15088132013025,1226330.793478261,422937446.04000026,68451316.6600001,393376575.67,47865128.64999978,256424959.78000045,26991858.34000001,3.748699924242905,0.6067172532966038,3.486687578081213,0.4242518741817931,0.8703396195934218,0.7906560198832059,2.2728189151886173,6.381997761779456
NATIONAL,2025Q1,14551,90.0,111333882.0,85.01430371337555,1237043.1333333333,415329822.0399996,68332020.91999975,385526639.8200017,47590024.19999996,250473178.4299996,25696666.649999995,3.730488999206905,0.6137576422602398,3.4627970649581923,0.4274532006348252,0.8681824645401093,0.7866575890993103,2.249748000613143,6.187050697150565
NATIONAL,2025Q2,14537,91.0,112066765.0,84.71506583806206,1231502.912087912,423702393.37999934,69415400.92999998,393241316.3899999,48323268.68000013,256866095.25999948,25337804.94999989,3.780803286148211,0.6194111245202801,3.508991415876062,0.43120071039795,0.8705597307592271,0.786806903355942,2.2920809328260656,5.980094836819949
NATIONAL,2025Q3,14487,92.0,113494850.0,85.15494401277323,1233639.6739130437,428289305.8200007,70125143.29000005,398008305.3400019,49154286.56999976,260281904.8099996,23668138.46,3.773645287165018,0.6178707077017156,3.506840225261339,0.4330970662545459,0.8636294145343159,0.7814560588171195,2.293336700387723,5.526203465362063
NATIONAL,2025Q4,14362,92.0,113037197.0,85.54972739051736,1228665.1847826086,425228324.74999976,69847496.58999988,395128181.3999987,49036426.19000004,258086367.22999865,22332884.7,3.761844207354149,0.6179160351083359,3.495558912346338,0.4338078746768644,0.8620331823795859,0.7796971288868613,2.2831985760404043,5.251974856832491
