CY_Qtr,STATE,Facility_Count,Census,Total_Nurse_HPRD,Nurse_Care_HPRD,Total_RN_HPRD,Direct_Care_RN_HPRD,Contract_Percentage,State_Census
2017Q3,AZ,132,82.26943346508564,4.068148947031268,3.8148707210633788,0.6443105657204629,0.48225821756015536,1.1377184551864126,10859.565217391304
2017Q4,AZ,131,79.10960836375705,4.007628056205549,3.7447870790588498,0.6540142999636052,0.48094805171648863,0.8603785992244243,10363.358695652174
2018Q1,AZ,140,81.53873015873016,4.014787295549491,3.749823104805585,0.6641742262903595,0.4887566722601393,0.9577728271732452,11415.422222222222
2018Q2,AZ,142,78.48467729453644,4.130946144615496,3.847050313603417,0.6903363706012451,0.510436629036886,1.6443876443920888,11144.824175824175
2018Q3,AZ,146,78.61703394877904,4.1414348323459445,3.8746668320732134,0.6926739420294248,0.514172506401612,2.122731923231818,11478.08695652174
2018Q4,AZ,146,79.22803752233472,4.1301427563285165,3.86408079940537,0.6976592923638708,0.5149560558208066,1.9726144802671832,11567.293478260868
2019Q1,AZ,147,81.6806500377929,4.009320177488236,3.7370934681923127,0.6952427045209529,0.5078954966292967,1.6930037794686201,12007.055555555557
2019Q2,AZ,141,81.2884420543995,4.023623179790836,3.757994318377929,0.7050427511859884,0.522376003344161,1.967469932462873,11461.670329670329
2019Q3,AZ,144,81.1946708937198,4.062303891445959,3.7931202686333227,0.7006651779779429,0.5171873823404455,2.1193153218250287,11692.032608695652
2019Q4,AZ,143,81.39153238066281,4.045584836199917,3.780257810376854,0.6877757481179732,0.5082216070983304,1.8997448418061786,11638.989130434782
2020Q1,AZ,114,88.0328706381338,3.993429630124401,3.7367424032551773,0.6666164469210613,0.4916178649289956,2.1495418389937173,10035.747252747253
2020Q2,AZ,137,72.30937675463221,4.246076678266098,3.9419883502813704,0.7478171586533715,0.5376246532095518,2.3175624672874715,9906.384615384613
2020Q3,AZ,140,69.94239130434782,4.264416722724337,3.953864615733001,0.7677984987645113,0.5579425836258323,2.4532100653671858,9791.934782608696
2020Q4,AZ,143,70.34052903618121,4.234006786254593,3.922561746271882,0.7429420466825157,0.534214458612492,2.7900895409340496,10058.695652173914
2021Q1,AZ,145,70.56038314176246,4.178138547131719,3.8718020162617166,0.7176103074131228,0.5227738639658649,3.5979254343068057,10231.255555555555
2021Q2,AZ,142,71.24508590001548,4.0589531613711936,3.761654086499556,0.6924969776098733,0.5045422205904876,4.513814275123339,10116.802197802199
2021Q3,AZ,140,73.60698757763976,3.988524035449308,3.708889118598229,0.6619932113858013,0.4819741935619973,5.162392546505296,10304.978260869566
2021Q4,AZ,140,75.85261678768262,3.912858581081639,3.6464166570293335,0.6406590387172986,0.46907391765862355,7.5713853078700835,10619.366350275566
2022Q1,AZ,138,77.86916264090178,3.8629576946341517,3.5978876785557343,0.6336482393874692,0.4663728952007734,9.058553960626123,10745.944444444445
2022Q2,AZ,137,76.50822170530199,3.8994069475838415,3.6254206628448737,0.6242345160762738,0.45346736518533737,8.595640824600977,10481.626373626374
2022Q3,AZ,140,77.37406832298137,3.9481469889963456,3.6762407759352502,0.6407568800435088,0.46518434081426646,9.303468732433814,10832.369565217392
2022Q4,AZ,139,78.76454488583046,3.9295389186897673,3.666675691319158,0.6384551165014132,0.46637810613348746,8.409117054690078,10948.271739130434
2023Q1,AZ,141,81.00323089046493,3.8430512359292597,3.57505282942143,0.6367661934507277,0.45973368835067724,8.027214011573284,11421.455555555556
2023Q2,AZ,139,79.32192268163492,3.9547860004006603,3.688189382892989,0.6372454085990533,0.4644212298286827,7.037359323107016,11025.747252747253
2023Q3,AZ,140,78.57383540372672,3.9636040595594406,3.70549493049126,0.6229373704955677,0.4542443956756266,4.803173077844994,11000.33695652174
2023Q4,AZ,139,80.0555208007507,3.9900871697191698,3.7278653675213675,0.6201543345543346,0.4471123711843712,5.169368031947226,11127.717391304348
2024Q1,AZ,139,82.65594118112102,3.971951009789434,3.7110066426593598,0.6332903592966146,0.45982455536266814,5.93486986246816,11489.175824175822
